City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Kalawit,PH,79.16,broken clouds,8.07,122.52,Ompoy Pension House
215,Sao Jose Da Coroa Grande,BR,82.02,light rain,-8.9,-35.15,Crôa Mares Hotel
216,Metro,ID,75.47,broken clouds,-5.11,105.31,OYO 3177 Wisma Lintang
217,Dhidhdhoo,MV,83.79,clear sky,6.88,73.1,Dhidhoo beach
218,Mackay,AU,75.2,light rain,-21.15,149.2,International Lodge Motel
223,Sabang,ID,84.13,clear sky,5.89,95.32,Hotel Citra
224,Taft,IR,75.2,broken clouds,31.75,54.21,بوم گردی حاجی زینل تفت
226,Dwarka,IN,80.33,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
227,Carutapera,BR,82.15,overcast clouds,-1.2,-46.02,Lidera
230,Kimbe,PG,75.45,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
232,Cidreira,BR,88.25,clear sky,-30.18,-50.21,Hotel Castelo
235,Llano De Piedra,PA,87.01,few clouds,7.67,-80.57,
236,Tautira,PF,77.0,scattered clouds,-17.73,-149.15,Pension Oaoa
239,Balikpapan,ID,75.88,overcast clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
240,Saint-Pierre,RE,78.8,light rain,-21.34,55.48,Lindsey Hôtel
241,Indapur,IN,85.03,clear sky,18.3,73.25,Hotel Open Umbrella
242,Kutum,SD,79.48,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
245,Tignere,CM,80.98,overcast clouds,7.37,12.65,SADECK
246,Balkanabat,TM,78.31,broken clouds,39.51,54.37,Nebitchi Hotel
248,Bowen,AU,75.2,clear sky,-20.02,148.23,Castle Motor Lodge Motel
253,Lakatoro,VU,77.94,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
255,Buraydah,SA,78.8,clear sky,26.33,43.98,فندق راحة السلام
256,Biak,ID,76.59,overcast clouds,-0.91,122.88,Penginapan Kim
257,Davila,PH,77.27,few clouds,18.47,120.58,Blue Ridge Beach Resort
258,Kui Buri,TH,78.8,overcast clouds,12.08,99.85,Rista House & Resort
260,Bambous Virieux,MU,80.6,light rain,-20.34,57.76,Casa Tia Villa
270,San Patricio,US,80.01,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
271,Bandraboua,YT,78.8,clear sky,-12.7,45.12,Stade de Bandraboua
275,Tondano,ID,77.0,scattered clouds,1.3,124.91,Villa Bella
280,Tapejara,BR,84.51,few clouds,-28.07,-52.01,Hotel Fontana
282,Qui Nhon,VN,75.85,scattered clouds,13.77,109.23,Hoang Yen Canary Hotel
289,Ugoofaaru,MV,83.7,few clouds,5.67,73.0,Ungoofaaru Inn
291,Zhuhai,CN,75.99,clear sky,22.28,113.57,Nanyang Seascape Hotel Zhuhai Hotel
292,Puerto Madero,MX,87.8,clear sky,14.72,-92.42,Hotel La Central
295,Paita,PE,87.8,clear sky,-5.09,-81.11,Hotel Náutico de Paita
297,Sao Joao Dos Patos,BR,89.33,scattered clouds,-6.5,-43.7,HOTEL SÃO CRISTOVÃO
298,Kapoeta,SS,88.92,overcast clouds,4.77,33.59,Eastgate Hotel
299,High Rock,BS,78.8,broken clouds,26.62,-78.28,Hideaway Bahamas Beach Club
303,Carupano,VE,80.71,broken clouds,10.67,-63.26,Hotel La dorada
309,Dingle,PH,76.01,scattered clouds,11.0,122.67,SEGAYA PROPERTY
322,Dondo,MZ,78.8,scattered clouds,-19.61,34.74,Arco Iris
324,Cartagena,CO,87.8,few clouds,10.4,-75.51,Hotel Colombia Real - Cartagena
327,Bathsheba,BB,80.6,volcanic ash,13.22,-59.52,Atlantis Hotel
330,Axim,GH,83.93,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
331,Mahanoro,MG,76.24,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
333,Praia,CV,82.4,clear sky,14.92,-23.51,LT Aparthotel
340,Gwadar,PK,79.25,clear sky,25.12,62.33,Sadaf Resort
341,Sinnamary,GF,78.91,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
342,Tual,ID,82.96,broken clouds,-5.67,132.75,Grand Vilia Hotel
345,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
348,Virginia Beach,US,77.0,few clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
356,Sambava,MG,77.43,light rain,-14.27,50.17,Melrose
359,Port-Gentil,GA,78.8,light rain,-0.72,8.78,Fengshui Residence
361,Port Hedland,AU,80.6,broken clouds,-20.32,118.57,The Esplanade Hotel
362,Ardakan,IR,75.2,broken clouds,32.31,54.02,Ardakan Hotel
366,Iquitos,PE,86.0,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
367,Apam,GH,83.89,scattered clouds,5.28,-0.74,Spanish Villa
372,Ponnani,IN,82.4,haze,10.77,75.93,Rouba Residency
381,Morondava,MG,80.51,overcast clouds,-20.28,44.28,La Case Bambou
388,San Miguelito,PA,87.8,scattered clouds,9.03,-79.5,Peluqueria Zarahemla
394,Meybod,IR,75.2,broken clouds,32.25,54.02,Traditional Hotel Restaurant Haji Malek
395,Dorado,PR,82.99,scattered clouds,18.46,-66.27,Embassy Suites by Hilton Dorado del Mar Beach Resort
396,Benguela,AO,83.23,broken clouds,-12.58,13.41,Hotel Praia Morena
397,Sekoma,BW,78.21,clear sky,-24.4,23.88,
399,Candelaria,PH,79.0,scattered clouds,13.93,121.42,Casa de Provincia
400,Kapatan,PH,78.75,overcast clouds,5.9,125.24,Hacienda Don Juan
407,Lucea,JM,84.2,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
409,Samana,DO,80.6,scattered clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
410,Sungairaya,ID,78.8,overcast clouds,0.7,108.9,Mess P.Milu
412,Souillac,MU,80.6,light rain,-20.52,57.52,Bils' Villa
417,Viana,BR,84.2,clear sky,-20.39,-40.5,Sítio Gava
420,Ambon,ID,80.76,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
427,Lazaro Cardenas,MX,82.69,clear sky,17.96,-102.2,Hotel Quinta Antigua
431,Karratha,AU,82.9,overcast clouds,-20.74,116.85,ibis Styles Karratha
441,Celestun,MX,85.95,clear sky,20.87,-90.4,Posada Lilia
445,Sulangan,PH,81.84,overcast clouds,11.14,123.72,Maia's Beach Resort
447,Marsh Harbour,BS,78.13,clear sky,26.54,-77.06,Abaco Beach Resort
450,Mul,IN,85.17,broken clouds,20.07,79.67,Taj Mahal
452,Monrovia,LR,87.8,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
453,Rajampet,IN,80.6,scattered clouds,14.18,79.17,Maruthi Prasanna
454,Mahibadhoo,MV,83.37,broken clouds,3.78,72.97,Omadhoo Inn
459,Humaita,BR,82.47,overcast clouds,-7.51,-63.02,Corrêa Hotel
460,Ambilobe,MG,75.36,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
468,Bandarbeyla,SO,80.37,broken clouds,9.49,50.81,JABIR HOTEL
470,Bonfim,BR,77.23,overcast clouds,3.08,-59.95,
476,Paraiso,CR,80.6,clear sky,9.84,-83.87,Rinconcito Verde
