City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Georgetown,MY,2021-04-09 17:01:24,5.4112,100.3354,86.0,79,20,5.75
90,Atasu,KZ,2021-04-09 17:04:41,48.6814,71.6433,40.95,93,61,11.9
91,Mirabad,AF,2021-04-09 17:04:41,30.4362,61.8383,83.7,8,0,8.12
92,Punta Arenas,CL,2021-04-09 17:04:42,-53.15,-70.9167,51.8,58,40,17.27
93,Labuhan,ID,2021-04-09 17:04:42,-6.8844,112.2051,79.84,85,51,6.82
94,Antofagasta,CL,2021-04-09 17:02:25,-23.65,-70.4,72.0,63,75,11.5
95,Kudahuvadhoo,MV,2021-04-09 17:04:42,2.6708,72.8944,82.35,73,15,8.25
96,Cedar City,US,2021-04-09 17:04:43,37.6775,-113.0619,51.8,20,1,9.22
97,Geraldton,AU,2021-04-09 17:04:43,-28.7667,114.6,82.4,36,94,23.02
98,Arkhangelsk,RU,2021-04-09 17:04:43,64.5401,40.5433,37.4,48,20,4.47
99,Chokurdakh,RU,2021-04-09 17:04:43,70.6333,147.9167,-3.53,94,100,12.75
100,Stonewall,CA,2021-04-09 17:00:09,50.1344,-97.3268,45.0,75,75,19.57
101,Qaanaaq,GL,2021-04-09 17:04:44,77.484,-69.3632,13.87,71,87,4.38
102,Raha,IN,2021-04-09 17:04:44,26.2333,92.5167,78.22,57,100,1.32
103,Mandalgovi,MN,2021-04-09 17:04:44,45.7625,106.2708,44.01,46,100,8.01
104,Anchorage,US,2021-04-09 17:01:24,61.2181,-149.9003,6.8,40,1,8.05
105,Albany,US,2021-04-09 17:00:12,42.6001,-73.9662,69.01,34,99,3.0
106,Bonfim,BR,2021-04-09 17:04:45,3.0833,-59.95,80.42,71,100,4.05
107,Predivinsk,RU,2021-04-09 17:04:45,57.0669,93.4378,29.93,97,100,2.82
108,Sur,OM,2021-04-09 17:04:46,22.5667,59.5289,82.27,59,0,12.46
109,Narasannapeta,IN,2021-04-09 17:04:46,18.4167,84.05,81.16,76,88,11.23
110,Vostok,RU,2021-04-09 17:04:46,46.4856,135.8833,21.07,80,56,4.74
111,Ponta Do Sol,PT,2021-04-09 17:04:47,32.6667,-17.1,66.0,66,69,3.0
112,Agadez,NE,2021-04-09 17:04:47,19.75,10.25,93.58,4,61,6.87
113,Pauini,BR,2021-04-09 17:04:47,-7.7136,-66.9764,87.94,60,97,2.44
114,Fairbanks,US,2021-04-09 17:02:30,64.8378,-147.7164,-9.99,64,75,3.44
115,Lethem,GY,2021-04-09 17:04:48,3.3803,-59.7968,80.98,74,99,1.41
116,Provideniya,RU,2021-04-09 17:04:48,64.3833,-173.3,-2.99,98,99,9.53
117,Torbay,CA,2021-04-09 17:04:48,47.6666,-52.7314,41.0,100,90,17.27
118,Dingle,PH,2021-04-09 17:04:49,10.9995,122.6711,75.63,83,65,6.11
119,Arraial Do Cabo,BR,2021-04-09 17:04:49,-22.9661,-42.0278,84.2,54,20,13.8
120,Labytnangi,RU,2021-04-09 17:04:49,66.6572,66.4183,34.54,99,100,16.96
121,Vilhena,BR,2021-04-09 17:01:02,-12.7406,-60.1458,82.4,69,40,12.66
122,Tuktoyaktuk,CA,2021-04-09 17:04:50,69.4541,-133.0374,-16.6,69,90,18.41
123,Sembe,CG,2021-04-09 17:04:50,1.6481,14.5806,76.44,81,86,1.21
124,Estelle,US,2021-04-09 17:04:50,29.8458,-90.1067,82.99,78,75,20.71
125,Solotcha,RU,2021-04-09 17:04:51,54.7917,39.8442,34.0,76,35,3.36
126,Faanui,PF,2021-04-09 17:04:51,-16.4833,-151.75,81.37,70,94,8.48
127,Port Elizabeth,ZA,2021-04-09 17:04:52,-33.918,25.5701,60.8,88,0,5.75
128,Atar,MR,2021-04-09 17:02:18,20.5169,-13.0499,100.33,8,0,10.85
129,Port-Gentil,GA,2021-04-09 17:04:52,-0.7193,8.7815,86.0,74,40,6.91
130,Nemuro,JP,2021-04-09 17:04:52,43.3236,145.575,30.88,71,100,14.97
131,Soyo,AO,2021-04-09 17:04:53,-6.1349,12.3689,81.03,78,90,2.13
132,Ilheus,BR,2021-04-09 17:01:44,-14.7889,-39.0494,86.0,66,40,17.27
133,Okhotsk,RU,2021-04-09 17:04:53,59.3833,143.3,6.93,84,30,5.73
134,Nanortalik,GL,2021-04-09 17:04:53,60.1432,-45.2371,37.81,87,100,11.18
135,Bacolod,PH,2021-04-09 17:04:54,10.6667,122.95,78.28,80,86,9.28
136,Artesia,US,2021-04-09 17:04:54,33.8658,-118.0831,66.99,77,75,5.75
137,Nikolskoye,RU,2021-04-09 17:04:54,59.7035,30.7861,41.0,75,75,11.18
138,Arroyo Grande,US,2021-04-09 17:02:01,35.1186,-120.5907,69.01,37,1,14.97
139,Touros,BR,2021-04-09 17:04:55,-5.1989,-35.4608,87.8,58,40,11.5
140,Kholtoson,RU,2021-04-09 17:04:55,50.2981,103.3097,30.54,92,100,3.69
141,Lavrentiya,RU,2021-04-09 17:04:55,65.5833,-171.0,-15.57,99,97,3.09
142,Kieta,PG,2021-04-09 17:04:56,-6.2167,155.6333,78.93,86,100,8.57
143,Sao Filipe,CV,2021-04-09 17:04:56,14.8961,-24.4956,76.64,59,0,12.86
144,Hayden,US,2021-04-09 17:04:56,47.766,-116.7866,43.0,56,1,10.36
145,New Haven,US,2021-04-09 17:04:57,41.4001,-72.9329,62.6,51,1,5.75
146,Ancud,CL,2021-04-09 17:04:57,-41.8697,-73.8203,55.4,67,20,5.75
147,Airai,TL,2021-04-09 17:04:57,-8.9266,125.4092,57.51,88,5,1.45
148,Caravelas,BR,2021-04-09 17:04:58,-17.7125,-39.2481,81.55,56,75,12.48
149,Saint-Augustin,CA,2021-04-09 17:04:58,51.226,-58.6502,39.61,88,94,11.16
150,Ibra,OM,2021-04-09 17:04:59,22.6906,58.5334,77.74,49,3,10.4
151,Adrar,MR,2021-04-09 17:04:59,20.5022,-10.0711,96.42,8,1,2.55
152,Pathein,MM,2021-04-09 17:05:00,16.7833,94.7333,78.31,75,0,6.38
153,Lac Du Bonnet,CA,2021-04-09 17:05:00,50.2536,-96.0612,41.0,100,100,8.01
154,Srednekolymsk,RU,2021-04-09 17:05:01,67.45,153.6833,-8.09,99,97,6.71
155,Pangnirtung,CA,2021-04-09 17:05:01,66.1451,-65.7125,17.6,93,90,9.22
156,Treuchtlingen,DE,2021-04-09 17:05:02,48.95,10.9167,59.0,35,1,8.05
157,Oranjemund,NA,2021-04-09 17:05:02,-28.55,16.4333,64.42,76,8,8.21
158,Puerto Ayora,EC,2021-04-09 17:05:02,-0.7393,-90.3518,79.61,80,77,5.17
159,Atuona,PF,2021-04-09 17:05:03,-9.8,-139.0333,80.8,75,15,18.14
160,Saldanha,ZA,2021-04-09 17:05:03,-33.0117,17.9442,69.8,68,96,16.11
161,Kasongo-Lunda,CD,2021-04-09 17:05:04,-6.4667,16.8167,72.57,93,91,2.17
162,Nantucket,US,2021-04-09 17:05:04,41.2835,-70.0995,59.0,58,1,8.05
163,East London,ZA,2021-04-09 17:05:05,-33.0153,27.9116,64.4,94,20,3.44
164,Axim,GH,2021-04-09 17:05:05,4.8699,-2.2405,84.72,71,66,7.74
165,Narsaq,GL,2021-04-09 17:05:05,60.9167,-46.05,42.8,52,75,3.44
166,Wokha,IN,2021-04-09 17:05:06,26.1,94.2667,59.04,62,67,2.86
167,Khatanga,RU,2021-04-09 17:05:06,71.9667,102.5,-15.41,90,18,4.07
168,Aranda De Duero,ES,2021-04-09 17:05:06,41.6704,-3.6892,52.57,83,100,7.52
169,Moron,AR,2021-04-09 17:05:07,-34.6534,-58.6198,72.0,97,100,3.0
170,Tanggu,CN,2021-04-09 17:05:07,39.0211,117.6469,46.4,66,0,4.47
171,Wilmington,US,2021-04-09 17:03:01,34.2257,-77.9447,80.6,50,20,3.44
172,Sisimiut,GL,2021-04-09 17:05:08,66.9395,-53.6735,32.43,98,100,22.37
173,Lexington,US,2021-04-09 17:05:08,37.9887,-84.4777,75.0,40,1,17.27
174,Portland,US,2021-04-09 17:01:56,45.5234,-122.6762,48.0,65,1,0.92
175,Clyde River,CA,2021-04-09 17:05:09,70.4692,-68.5914,12.2,79,20,11.5
176,Lasa,IT,2021-04-09 17:05:09,46.6166,10.7002,57.2,61,0,10.36
177,Whyalla,AU,2021-04-09 17:05:09,-33.0333,137.5833,59.0,58,90,9.22
178,Mount Gambier,AU,2021-04-09 17:05:10,-37.8333,140.7667,53.6,94,75,8.05
179,Bambous Virieux,MU,2021-04-09 17:05:10,-20.3428,57.7575,75.99,94,75,3.44
180,Jackson,US,2021-04-09 17:01:53,42.4165,-122.8345,50.0,75,1,1.88
181,Beloha,MG,2021-04-09 17:05:10,-25.1667,45.05,74.12,84,86,9.33
182,Wencheng,CN,2021-04-09 17:05:11,33.0559,113.7978,51.57,65,98,5.99
183,Tral,IN,2021-04-09 17:05:11,33.9333,75.1,46.53,56,40,7.49
184,Keelung,TW,2021-04-09 17:05:11,25.1283,121.7419,62.6,88,75,12.66
185,Gao,ML,2021-04-09 17:05:12,16.6362,1.637,102.67,4,0,8.21
186,Bandarbeyla,SO,2021-04-09 17:05:12,9.4942,50.8122,79.07,60,5,8.61
187,Never,FR,2021-04-09 17:05:12,46.9896,3.159,64.4,52,90,4.61
188,Sulangan,PH,2021-04-09 17:05:13,11.1373,123.7228,81.21,76,43,14.79
189,Coihaique,CL,2021-04-09 17:05:13,-45.5752,-72.0662,57.2,54,40,3.44
190,Librazhd,AL,2021-04-09 17:05:13,41.1794,20.315,53.6,47,0,8.05
191,Saravan,AM,2021-04-09 17:05:14,39.7196,45.6483,69.8,35,75,9.22
192,Ilulissat,GL,2021-04-09 17:05:14,69.2167,-51.1,33.8,86,90,9.22
193,Tambilil,PH,2021-04-09 17:05:14,5.9622,124.6697,78.69,80,66,3.2
194,Belmonte,BR,2021-04-09 17:05:15,-15.8631,-38.8828,86.0,66,40,17.27
195,Shelburne,CA,2021-04-09 17:05:15,44.0787,-80.2041,62.01,69,94,11.21
196,Pangody,RU,2021-04-09 17:01:19,65.85,74.4859,31.39,89,95,21.27
197,Batagay,RU,2021-04-09 17:05:16,67.6333,134.6333,-15.99,100,98,4.23
198,Ajdabiya,LY,2021-04-09 17:05:16,30.7554,20.2263,65.71,46,3,9.98
199,Pisco,PE,2021-04-09 17:05:16,-13.7,-76.2167,72.0,73,75,6.91
200,Atbasar,KZ,2021-04-09 17:05:17,51.8,68.3333,34.11,97,100,7.05
201,Gweta,BW,2021-04-09 17:05:17,-20.1833,25.2333,81.1,23,12,11.5
202,Mayumba,GA,2021-04-09 17:05:17,-3.432,10.6554,81.39,84,50,7.61
203,Champagnole,FR,2021-04-09 17:05:18,46.7445,5.9135,55.0,50,98,13.0
204,Gdansk,PL,2021-04-09 17:05:18,54.3521,18.6464,51.01,46,0,13.8
205,Dikson,RU,2021-04-09 17:05:18,73.5069,80.5464,14.74,67,98,25.37
206,College,US,2021-04-09 17:05:19,64.8569,-147.8028,-9.4,54,75,9.22
207,Peque,CO,2021-04-09 17:05:19,7.0212,-75.9093,67.08,97,100,1.07
208,Meulaboh,ID,2021-04-09 17:05:19,4.1363,96.1285,79.12,85,100,5.55
209,Mar Del Plata,AR,2021-04-09 17:05:20,-38.0023,-57.5575,68.0,77,75,13.8
