City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Belmonte,BR,-15.86,-38.88,82.4,89,75,1.14,broken clouds
200,Andros Town,BS,24.70,-77.77,80.6,69,40,19.57,scattered clouds
201,Acajutla,SV,13.59,-89.83,86.0,54,20,6.78,few clouds
202,Sembe,CG,1.65,14.58,75.22,88,99,1.19,light rain
203,Kavieng,PG,-2.57,150.80,79.45,79,100,1.43,light rain
204,Komsomolskiy,UZ,40.43,71.72,60.8,36,39,4.61,scattered clouds
205,Glendive,US,47.11,-104.71,33.8,100,90,25.32,light snow
206,Kot Samaba,PK,28.55,70.47,88.57,8,2,8.84,clear sky
207,Djambala,CG,-2.54,14.75,72.61,85,98,4.54,light rain
208,Ndele,CF,8.41,20.65,89.2,15,100,1.5,overcast clouds
209,Zhanakorgan,KZ,43.91,67.25,50.02,64,82,16.46,broken clouds
210,Nichinan,JP,31.60,131.37,57.0,67,83,10.0,broken clouds
211,Lompoc,US,34.64,-120.46,50.0,87,100,12.66,overcast clouds
212,Byron Bay,AU,-28.65,153.62,60.8,51,90,10.36,overcast clouds
213,Caravelas,BR,-17.71,-39.25,83.35,58,60,5.41,broken clouds
214,Kalawit,PH,8.07,122.52,79.16,82,54,6.38,broken clouds
215,Sao Jose Da Coroa Grande,BR,-8.90,-35.15,82.02,74,98,8.52,light rain
216,Metro,ID,-5.11,105.31,75.47,91,74,4.09,broken clouds
217,Dhidhdhoo,MV,6.88,73.10,83.79,65,5,3.0,clear sky
218,Mackay,AU,-21.15,149.20,75.2,83,75,10.36,light rain
219,Svetlogorsk,BY,52.63,29.73,50.63,58,0,7.54,clear sky
220,Dabola,GN,10.75,-11.12,104.02,11,41,6.42,scattered clouds
221,Camacha,PT,33.08,-16.33,68.0,77,20,10.36,few clouds
222,Hervey Bay,AU,-25.30,152.85,66.99,59,0,3.0,clear sky
223,Sabang,ID,5.89,95.32,84.13,67,5,3.67,clear sky
224,Taft,IR,31.75,54.21,75.2,25,75,6.91,broken clouds
225,Igarka,RU,67.47,86.58,29.34,88,100,13.87,overcast clouds
226,Dwarka,IN,22.24,68.97,80.33,73,0,13.96,clear sky
227,Carutapera,BR,-1.20,-46.02,82.15,82,100,7.54,overcast clouds
228,Paamiut,GL,61.99,-49.67,35.4,79,8,11.05,clear sky
229,Faya,SA,18.39,42.45,66.2,63,40,10.36,scattered clouds
230,Kimbe,PG,-5.55,150.14,75.45,92,100,3.53,overcast clouds
231,Kedrovyy,RU,56.17,91.82,39.2,33,0,8.95,clear sky
232,Cidreira,BR,-30.18,-50.21,88.25,48,4,5.12,clear sky
233,Neiafu,TO,-18.65,-173.98,66.2,94,20,6.89,few clouds
234,Te Anau,NZ,-45.42,167.72,48.02,94,20,0.98,light rain
235,Llano De Piedra,PA,7.67,-80.57,87.01,59,23,4.85,few clouds
236,Tautira,PF,-17.73,-149.15,77.0,78,40,4.61,scattered clouds
237,Cherskiy,RU,68.75,161.30,-30.05,99,59,3.94,broken clouds
238,Kailua,US,21.40,-157.74,69.8,73,40,5.01,scattered clouds
239,Balikpapan,ID,-1.27,116.83,75.88,88,99,2.75,overcast clouds
240,Saint-Pierre,RE,-21.34,55.48,78.8,78,75,2.3,light rain
241,Indapur,IN,18.30,73.25,85.03,48,2,3.53,clear sky
242,Kutum,SD,14.20,24.67,79.48,11,9,13.15,clear sky
243,East London,ZA,-33.02,27.91,69.8,94,75,8.05,broken clouds
244,Beringovskiy,RU,63.05,179.32,2.88,94,100,25.9,snow
245,Tignere,CM,7.37,12.65,80.98,37,92,0.51,overcast clouds
246,Balkanabat,TM,39.51,54.37,78.31,16,81,17.45,broken clouds
247,Yakovlevka,RU,44.42,133.48,45.46,75,59,7.7,broken clouds
248,Bowen,AU,-20.02,148.23,75.2,94,2,5.75,clear sky
249,Severo-Kurilsk,RU,50.68,156.12,27.27,77,36,8.43,scattered clouds
250,Hirara,JP,24.80,125.28,71.2,77,89,20.09,overcast clouds
251,Nikolskoye,RU,59.70,30.79,48.99,36,0,4.47,light rain
252,Wajima,JP,37.40,136.90,46.98,67,24,7.9,few clouds
253,Lakatoro,VU,-16.10,167.42,77.94,85,100,3.6,overcast clouds
254,Cacu,BR,-18.56,-51.13,92.55,19,0,4.29,clear sky
255,Buraydah,SA,26.33,43.98,78.8,29,0,14.97,clear sky
256,Biak,ID,-0.91,122.88,76.59,83,98,2.42,overcast clouds
257,Davila,PH,18.47,120.58,77.27,76,23,14.7,few clouds
258,Kui Buri,TH,12.08,99.85,78.8,83,100,3.18,overcast clouds
259,Havoysund,NO,71.00,24.66,35.6,80,75,34.52,snow
260,Bambous Virieux,MU,-20.34,57.76,80.6,78,40,6.91,light rain
261,Avera,US,33.19,-82.53,73.0,88,75,9.22,broken clouds
262,Pangnirtung,CA,66.15,-65.71,26.6,68,40,10.36,scattered clouds
263,Nanchang,CN,28.68,115.88,58.48,97,99,2.86,light rain
264,Chara,RU,56.91,118.26,-2.6,76,80,3.4,broken clouds
265,Port Elizabeth,ZA,-33.92,25.57,68.0,83,0,4.61,clear sky
266,Talaya,RU,61.38,152.75,-15.3,100,100,2.73,overcast clouds
267,Buribay,RU,51.96,58.16,33.28,98,91,3.27,overcast clouds
268,Seoul,KR,37.57,126.98,57.2,58,0,3.44,clear sky
269,Malibu,US,34.01,-118.81,61.0,77,90,6.91,overcast clouds
270,San Patricio,US,28.02,-97.52,80.01,57,20,12.66,few clouds
271,Bandraboua,YT,-12.70,45.12,78.8,89,0,4.61,clear sky
272,Guerrero Negro,MX,27.98,-114.06,63.77,65,95,15.88,overcast clouds
273,Oleksandrivka,UA,48.96,32.23,50.27,50,39,7.05,scattered clouds
274,Saskylakh,RU,71.92,114.08,15.1,95,98,6.4,overcast clouds
275,Tondano,ID,1.30,124.91,77.0,100,40,1.81,scattered clouds
276,Sosnovoborsk,RU,56.13,93.36,39.2,33,0,8.95,clear sky
277,Save,BJ,8.04,2.49,92.68,41,38,10.27,light rain
278,Longyearbyen,SJ,78.22,15.64,19.4,58,40,17.27,scattered clouds
279,Honggang,CN,46.47,124.87,51.01,75,90,1.99,overcast clouds
280,Tapejara,BR,-28.07,-52.01,84.51,38,16,12.82,few clouds
281,Dogondoutchi,NE,13.64,4.03,104.67,4,62,4.43,broken clouds
282,Qui Nhon,VN,13.77,109.23,75.85,87,28,6.13,scattered clouds
283,Chimala,TZ,-8.85,34.02,65.41,92,92,4.41,light rain
284,Dinghai,CN,26.28,119.79,66.2,88,75,2.24,light rain
285,Nioro,GM,13.35,-15.75,106.77,8,0,5.79,clear sky
286,Lerwick,GB,60.15,-1.15,39.2,65,20,9.22,few clouds
287,Strezhevoy,RU,60.73,77.59,41.0,65,0,11.18,light rain
288,Hofn,IS,64.25,-15.21,33.8,93,90,13.8,light snow
289,Ugoofaaru,MV,5.67,73.00,83.7,67,22,2.15,few clouds
290,Ponta Delgada,PT,37.73,-25.67,64.4,94,40,10.36,scattered clouds
291,Zhuhai,CN,22.28,113.57,75.99,88,0,6.91,clear sky
292,Puerto Madero,MX,14.72,-92.42,87.8,58,1,4.61,clear sky
293,Orange Cove,US,36.62,-119.31,66.0,56,70,3.31,broken clouds
294,Odienne,CI,9.51,-7.57,97.38,22,94,0.65,overcast clouds
295,Paita,PE,-5.09,-81.11,87.8,48,0,14.97,clear sky
296,Beipiao,CN,41.79,120.78,50.36,50,95,14.65,overcast clouds
297,Sao Joao Dos Patos,BR,-6.50,-43.70,89.33,43,50,6.62,scattered clouds
298,Kapoeta,SS,4.77,33.59,88.92,34,88,9.98,overcast clouds
299,High Rock,BS,26.62,-78.28,78.8,78,75,17.27,broken clouds
300,Gat,IL,31.61,34.76,61.0,53,11,7.34,few clouds
301,Jumla,NP,29.27,82.18,45.66,25,20,5.3,few clouds
302,Brae,GB,60.40,-1.35,39.2,65,20,9.22,few clouds
303,Carupano,VE,10.67,-63.26,80.71,81,58,11.23,broken clouds
304,Nusaybin,TR,37.08,41.22,49.37,56,62,7.0,broken clouds
305,Coquimbo,CL,-29.95,-71.34,62.6,72,0,13.8,clear sky
306,Andenes,NO,69.31,16.12,34.0,93,75,16.11,light snow
307,Ancud,CL,-41.87,-73.82,57.2,100,90,12.66,light rain
308,Senanga,ZM,-16.12,23.27,71.26,41,2,5.21,clear sky
309,Dingle,PH,11.00,122.67,76.01,81,49,5.44,scattered clouds
310,Asheville,US,35.60,-82.55,66.99,42,1,8.05,clear sky
311,Vitim,RU,59.45,112.56,-5.3,99,16,3.27,few clouds
312,Yulara,AU,-25.24,130.99,62.6,42,21,10.36,few clouds
313,Pisco,PE,-13.70,-76.22,73.4,64,0,8.05,clear sky
314,Kumluca,TR,36.37,30.29,54.86,57,7,5.66,clear sky
315,Thunder Bay,CA,48.40,-89.32,48.2,93,90,4.61,overcast clouds
316,Leeuwarden,NL,53.20,5.81,43.0,65,20,13.8,few clouds
317,Rio Gallegos,AR,-51.62,-69.22,59.0,29,0,12.66,clear sky
318,Lasa,IT,46.62,10.70,51.01,93,75,5.75,broken clouds
319,Poronaysk,RU,49.22,143.12,34.16,85,49,8.3,scattered clouds
320,Malakal,SS,9.53,31.66,96.24,13,100,2.91,overcast clouds
321,Asau,RO,46.43,26.40,55.4,30,0,10.36,clear sky
322,Dondo,MZ,-19.61,34.74,78.8,83,40,5.28,scattered clouds
323,Shevchenko,UA,48.50,35.00,57.2,28,0,11.18,clear sky
324,Cartagena,CO,10.40,-75.51,87.8,70,20,8.05,few clouds
325,Kongolo,CD,-5.38,27.00,71.42,90,84,1.12,broken clouds
326,Miles City,US,46.41,-105.84,35.6,80,90,32.21,overcast clouds
327,Bathsheba,BB,13.22,-59.52,80.6,65,75,14.97,volcanic ash
328,Margate,GB,51.38,1.39,46.99,41,58,5.01,broken clouds
329,Talnakh,RU,69.49,88.40,25.12,95,95,9.15,overcast clouds
330,Axim,GH,4.87,-2.24,83.93,74,96,11.68,overcast clouds
331,Mahanoro,MG,-19.90,48.80,76.24,86,98,5.3,light rain
332,Ajdabiya,LY,30.76,20.23,71.62,18,65,8.23,broken clouds
333,Praia,CV,14.92,-23.51,82.4,44,0,17.27,clear sky
334,Verkhnyaya Inta,RU,65.98,60.31,34.34,78,83,19.62,broken clouds
335,Albox,ES,37.39,-2.15,72.0,40,57,13.0,broken clouds
336,Arivonimamo,MG,-19.02,47.18,66.2,82,20,8.05,few clouds
337,Sorland,NO,67.67,12.69,35.6,75,75,17.27,broken clouds
338,Fairbanks,US,64.84,-147.72,9.0,51,1,6.91,clear sky
339,Ribeira Brava,PT,32.65,-17.07,68.0,73,40,19.57,scattered clouds
340,Gwadar,PK,25.12,62.33,79.25,71,0,12.66,clear sky
341,Sinnamary,GF,5.38,-52.95,78.91,83,100,2.48,overcast clouds
342,Tual,ID,-5.67,132.75,82.96,71,83,8.81,broken clouds
343,Irbeyskoye,RU,55.64,95.45,25.92,93,98,4.76,overcast clouds
344,Ust-Tsilma,RU,65.44,52.15,36.66,76,32,14.52,scattered clouds
345,San Cristobal,VE,7.77,-72.22,87.8,51,40,5.75,scattered clouds
346,Revda,RU,56.80,59.93,57.2,54,0,4.47,clear sky
347,Berlevag,NO,70.86,29.09,33.8,86,75,33.38,snow
348,Virginia Beach,US,36.85,-75.98,77.0,60,20,17.27,few clouds
349,Mbanza-Ngungu,CD,-5.25,14.87,71.89,90,84,3.06,broken clouds
350,Tocopilla,CL,-22.09,-70.20,71.65,65,7,7.29,clear sky
351,Chadiza,ZM,-14.07,32.44,64.27,91,99,5.84,overcast clouds
352,Krasnoselkup,RU,65.70,82.47,32.11,87,100,18.28,overcast clouds
353,Borgarnes,IS,64.54,-21.92,39.99,82,100,13.0,overcast clouds
354,Sivaki,RU,52.63,126.75,19.4,46,100,3.83,overcast clouds
355,Banikoara,BJ,11.30,2.44,104.38,12,93,5.1,overcast clouds
356,Sambava,MG,-14.27,50.17,77.43,86,100,12.06,light rain
357,Ankang,CN,32.68,109.02,55.42,83,100,0.69,overcast clouds
358,Lexington,US,37.99,-84.48,51.8,71,90,18.41,overcast clouds
359,Port-Gentil,GA,-0.72,8.78,78.8,94,40,3.44,light rain
360,Saint-Augustin,CA,51.23,-58.65,43.3,92,100,23.87,overcast clouds
361,Port Hedland,AU,-20.32,118.57,80.6,89,84,5.75,broken clouds
362,Ardakan,IR,32.31,54.02,75.2,25,75,6.91,broken clouds
363,Severomorsk,RU,69.07,33.42,35.6,80,75,8.95,broken clouds
364,Masumbwe,TZ,-3.63,32.18,65.43,92,94,3.42,overcast clouds
365,Ayan,RU,56.45,138.17,12.96,72,100,10.49,overcast clouds
